asset_id,asset_type,site_name,state,county,latitude,longitude,geometry_precision,primary_material,critical_materials,dominant_raws_profile,asset_status,rank_score,presence_count,production_present_flag,resources_present_flag,total_reported_direct_emissions_mtco2e,iron_and_steel_production_emissions_mtco2e,reporting_year,source_dataset,source_detail,mineral_system,deposit_type,focus_area,production_text,resources_text,source_summary,source_link,ghgrp_facility_id,ghgrp_frs_id,ghgrp_address,ghgrp_primary_naics_code,ghgrp_subparts,ghgrp_sector
ore-358,ore_site,Unnamed barite site 358,AK,,68.6159,-157.4548,point,barite,barite,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Barite (replacement and bedded),Brooks Range-Northern Foreland Sed Cu,None.,"Inferred resource of 29,500,000 tonnes Ba for Longview. See also Lakeview (more than a km away but may be related).",ARDF-ID: HW034,,,,,,,
ore-462,ore_site,Unnamed barite site 462,AK,,59.3966,-136.3919,point,barite,"barite, zinc",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Volcanogenic seafloor,Zinc-copper sulfide,Southeast Alaska VMS,None.,"Total Measured, Indicated, and Inferred resources (2019): 14,271,000 metric tons @5.04% Zn, 0.885% Cu, 56.551 g/t Ag, and 0.362 g/t Au. Total Indicated (2018):4,677,000 metric tons @23.9% BaSO4 and total Inferred resources 9,594,000 metric tons @27.7% BaSO4 for a total of 3,770,000 metric tons of barite.","ARDF-ID SK066; Goodwin and others (2019, 2022a)",,,,,,,
ore-80,ore_site,Unnamed beryllium site 80,AK,,54.90939,-132.12719,point,beryllium,"beryllium, hafnium, REE, titanium, vanadium, zirconium",Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,Southeastern Alaska REE,"Production (Ross Adams U mine is closed; 1957-1971): 85,600 tons ore @0.76% U3O8. Planned (2023 in pre-production): annual production at the Bokan-Dotson Ridge mine during the first five years of operation is estimated to be 2,250 tonnes of rare earth oxides, including 515 tonnes of yttrium oxide, 95 tonnes of dysprosium oxide, and 14 tonnes of terbium oxide. Location is for Dotson Zone.","Total resources (2019): 5,837,000 metric tons @0.602% lanthanides, 0.005% Be, 0.004% Hf, 0.383 % Ti, 0.010% V, and 0.188% zircon. See ARDF records and Karl and others (2021b) for details on individual deposits, including Dotson Zone, Cheri, Upper Cheri, Geiger, Geoduck, I & L Zone, Ross-Adams, Sunday Lake Zone.",Karl and others (2021b); ARDF-ID: DE015 to DE030.,https://doi.org/10.5066/P9I4NFSN,,,,,,
ore-149,ore_site,Unnamed chromium site 149,AK,,59.206,-151.8189,point,chromium,chromium,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Chugach Mountains-Kodiak Island PGE,"Production (1917-1918): 2,000 metric tons of chromite ore.","Conflicting estimates of remaining reserves. Foley and others (1992, p. 38) estimates a total resource of 82,000 metric tons of ore that grades 17.8% chromic oxide, whereas MacKevett and others (1978, p. 17) estimate a resource of 260,000 tons at 17.8% chromic oxide.",ARDF-ID: SV005; Foley and Barker (1985); Foley and others (1992); MacKevett and others (1978),,,,,,,
ore-267,ore_site,Unnamed chromium site 267,AK,,57.3603,-154.6003,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Chugach Mountains-Kodiak Island PGE,None.,"Identified resource (1985): 201,000 tons Cr2O3 for multiple deposits in the Halibut Bay complex. USBM calculated identified resources (non-compliant) for 8 deposits. Location is for ARDF-ID KR024, Halibut Bay 49. All occurrences are in the Kodiak National Wildlife Refuge and also contain Cu, Ni, Co, with trace Au, Ag, and PGE.",ARDF-ID: KR016 to KR029; Foley and Barker (1985),,,,,,,
ore-29,ore_site,Unnamed chromium site 29,AK,,68.2467,-161.9034,point,chromium,"chromium, iridium, palladium, platinum",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Northern Brooks Range (Angayucham Terrane) PGE,None.,"Estimated Cr2O3 content measured in 26 deposits ranges from 465,000 to 1,734,000 short tons. The area contains at least 50 other minor or unmeasured chromite lode occurrences, and also has potential for large, low-grade chromite and PGE placer deposits. Platinum and Pd were detected in chromite-bearing dunite (0.014 troy oz/st Pt) and in chromite concentrates (0.016 troy oz/st Pd). Iridium was detected in a pan concentrate sample (0.0036 troy oz/st).",ARDF-ID: MU009; Foley and others (1992),,,,,,,
ore-315,ore_site,Unnamed chromium site 315,AK,,67.944,-163.6117,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Northern Brooks Range (Angayucham Terrane) PGE,None.,"Total estimated reserve potential (1985): 194,000 to 383,000 tons chromic oxide.",ARDF-ID: NT001; Foley and others (1985),,,,,,,
ore-322,ore_site,Unnamed chromium site 322,AK,,64.2216,-156.6661,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Kokrine Hills-Yukon Flats (Tozitna and Angayucham Terranes) PGE,None.,"Total 1984 estimated reserve potential for 4 deposits in the Kaiyuh Hills is between 17,000 and 37,000 tons of contained Cr2O3.","ARDF-ID: NL003, NL004, NL005, and NL006; Foley and others (1984)",,,,,,,
ore-406,ore_site,Unnamed chromium site 406,AK,,68.2436,-161.0687,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Northern Brooks Range (Angayucham Terrane) PGE,None.,"Estimated resources (1992): 78,000 to 261,000 st Cr2O3.",ARDF-ID: MU002 and MU003; Foley and others (1992),,,,,,,
ore-48,ore_site,Unnamed chromium site 48,AK,,61.572,-145.1432,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Chugach Mountains-Kodiak Island PGE,None.,"Identified reserve (1985): 343,000 tons Cr2O3.",ARDF-ID: VA013; Foley and Barker (1985); Foley and others (1986),,,,,,,
ore-515,ore_site,Unnamed chromium site 515,AK,,59.378,-151.476,point,chromium,chromium,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Chugach Mountains-Kodiak Island PGE,"Production Red Mountain area (1943-1958): about 26,000 tonnes of ore containing from 38 to 43% Cr2O3 (Foley, 1992). From 1943 to 1958, the Chrome Queen mine produced 6,650 tonnes and the Star No. 4 mine produced 19,350 tonnes (Foley and Barker, 1985).","Reserve (1985): 1,584,000 tons Cr2O3; data is for a group of 33 chromite deposits in the Red Mountain area. About 88,000 tonnes chromic oxide are contained in 20 relative high-grade deposits with more than 20% chromite. The bulk of the reserves, 1.35 million tonnes, is in three low-grade deposits that contain 5 to 6% Cr2O3. These are the Turner Stringer Zone (1.13 million tonnes Cr2O3), the Star Stringer Zone (189,000 tonnes Cr2O3), and the Horseshoe Stringer Zone (26,000 tonnes Cr2O3) (Foley, 1992).",ARDF-ID: SV015; Foley and Barker (1985),,,,,,,
ore-559,ore_site,Unnamed chromium site 559,AK,,61.5813,-144.9908,point,chromium,chromium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Chromite,Chugach Mountains-Kodiak Island PGE,None.,"Reserve (1985): 26,000 tons Cr2O3 for deposit 17 at Sheep Hill.",ARDF-ID: VA015; Foley and Barker (1985),,,,,,,
ore-436,ore_site,Unnamed cobalt site 436,AK,,63.33,-145.59333,point,cobalt,"cobalt, nickel, PGE",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Nickel-copper-PGE sulfide,Talkeetna Mountains-Eastern Alaska Range PGE,None.,"Exploration (2022) target estimated (non-compliant) contains between 140 million tonnes and 211 million tonnes, with grades ranging from 0.28% NiEq to 0.42% NiEq. Potential grades: 0.16-0.25% Ni, 0.06-0.08% Cu, 0.014-0.020% Co, 0.035-0.053 g/t Pt, 0.077-0.115 g/t Pd, and 0.010-0.015 g/t Au.","ARDF-ID: MC136; Millrock Resources, Inc. (2022)",,,,,,,
ore-79,ore_site,Unnamed cobalt site 79,AK,,57.976,-136.4225,point,cobalt,"cobalt, nickel",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Nickel-copper-PGE sulfide,Southeast Alaska Fairweather trend PGE,None.,"Resources (1982): The Basin and Takanis deposits have Proven resources accessible by open-pit mining of 15.1 Mst @0.37% Ni, 0.22% Cu, and 0.02% Co, at a 2.5:1 stripping ratio. The Flapjack deposit has 4 Mst of Inferred resources @0.21% Ni and 0.12% Cu. Small amounts of Au, Pt, and Pd are recoverable from these deposits (also known as Yakobi Island).",ARDF-ID: SI001; Bittenbender and others (1999); Still (1988),,,,,,,
ore-87,ore_site,Unnamed cobalt site 87,AK,,67.0624,-156.948,point,cobalt,cobalt,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Copper (sed-hosted and replacement),Brooks Range-Central Belt Sed Cu,None.,Inferred resource (2023): 202.7 Mt @1.46% Cu. Note: Cobalt resource not included pending additional metallurgical testing. Inferred resource (2018): 124.6 Mt @0.017% Co and 40.5 Mt ore @1.02% Cu; cutoff grade 0.5% Cu.,Kim and Drake (2023); Burger and others (2018),https://doi.org/10.5066/P9V74HIU,,,,,,
ore-88,ore_site,Unnamed cobalt site 88,AK,,67.06527,-156.91952,point,cobalt,cobalt,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Copper (sed-hosted and replacement),Brooks Range-Central Belt Sed Cu,None.,"Inferred resource (2018): 57,800,000 tonnes ore @0.025% Co and 2.89% Cu; cutoff grade 1.5% Cu. The most recent NI 43-101 report for South Reef reports 33 Mt ore, with an average grade of 3.51% Cu for a total of 2,554 Mlbs Cu. Cobalt has potential for reasonable prospects of eventual economic extraction, but further metallurgical testwork is deemed necessary to support a resource estimate, and better processing definitions (Kim and Drake, 2023).",ARDF-ID: AR071; Burger and others (2018) Kim and Drake (2023),https://doi.org/10.5066/P9V74HIU,,,,,,
ore-95,ore_site,Unnamed cobalt site 95,AK,,58.5529,-136.9294,point,cobalt,"cobalt, nickel, PGE",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Nickel-copper-PGE sulfide,Southeast Alaska Fairweather trend PGE,None.,"Proven reserve (1995): 91,000,000 tonnes ore @0.03% Co, 0.3% Cu, and 0.5% Ni. PGE average about 0.18 ppm and exceed 1 ppm in massive sulfide units and in flotation concentrates. About 250,000 oz PGE exist in the drilled Ni-Cu resource area (Czamanske and others, 1981).",ARDF-ID MF003; Burger and others (2018); Czamanske and others (1981),https://doi.org/10.5066/P9V74HIU,,,,,,
ore-361,ore_site,Unnamed fluorspar site 361,AK,,65.476,-167.153,point,fluorspar,"fluorspar, tin",Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,Lost River-Kougarok Sn-W,Production: 350 tons Sn.,"Measured reserve (2002): 24,600,000 tons ore @16.3% fluorite, 0.03% W, and 0.15% Sn.",ARDF-ID: TE048: Karl and others (2018),https://doi.org/10.5066/P97JYNJL,,,,,,
ore-511,ore_site,Unnamed germanium site 511,AK,,68.0704,-162.8379,point,germanium,"germanium, zinc",Ore Site,CM-recent producer+resources,6,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Basin brine path,Zinc-lead (MVT and sedex),Western and central Brooks Range (Brooks Range zinc belt),"Production (1990-2022): 15,822,519 metric tons Zn, 2,894,001 metric tons Pb, and 12,562,361 oz Ag. The Trail smelter in Canada which processes Red Dog and other Zn ores, produced about 40 metric tons Ge in 2007; however, the amount contributed from Red Dog ore is unknown.","Total reserves and resources (2022): 72,000,000 metric tons @12.664% Zn, 4.153% Pb, and 75.912 g/t Ag.",ARDF-ID: DL001; Guberman (2010); Teck (2022),,,,,,,
ore-254,ore_site,Unnamed graphite site 254,AK,,65.0393,-165.538,point,graphite,graphite,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Metamorphic,Graphite (coal or carbonaceous sed),Seward Peninsula Graphite,Production (1912-1916): 135 tons graphite.,"Measured+Indicated resources (2022): 32.54 Mt @5.25% Cg (graphitic carbon) for 1,707,340 t contained graphite. Inferred resources (2022): 254.67 Mt @5.11 % graphite for 13,004,017 t contained graphite. Cut-off grade 2% Cg for resources. Total Proven and Probable reserves (2022): 22.49 Mt @5.6% Cg (1,258,000 t contained graphite reserves).",ARDF-ID: TE102; Goodwin and others (2022b); Karl and others (2022a),https://doi.org/10.5066/P99RK9SU,,,,,,
ore-405,ore_site,Unnamed nickel site 405,AK,,57.7855,-136.3082,point,nickel,nickel,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Mafic magmatic,Nickel-copper-PGE sulfide,Southeast Alaska Fairweather trend PGE,None.,"The largest body of disseminated sulfides at the Fleming Island deposit is estimated to contain 8,000 tons of material averaging 1.57% Ni and 0.88% Cu, and probably a little Co. (Cobb, 1978). Another report cites a high-grade zone at Mirror Harbor containing 7,300 tons averaging 1.60% Ni and 0.90% Cu. Samples collected by USBM contained up to 0.002 opt Au, 0.003 opt Pt, 0.003 opt Pd, and 0.093 opt Ag.",ARDF-ID: SI040; Cobb (1978); Still (1988),,,,,,,
ore-469,ore_site,Unnamed niobium site 469,AK,,56.562,-133.115,point,niobium,"niobium, REE",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,Southeastern Alaska REE,None.,"Resource estimates (1989): Calculated as Indicated resources by USBM measurements for 3 veins, as follows: Vein near Bay Point, 340,000 lbs Nb (Cb in report) within 200,000 st of rock; Vein south of Bay Point, 2.2 Mlbs REE within 560,000 st of rock; and Paystreak vein, approximately 11,700 lbs Th and 9,100 lbs REE within 3,500 st of rock.",ARDF-ID: PE055; Bellora and others (2019); Warner (1989),,,,,,,
ore-642,ore_site,Unnamed niobium site 642,AK,,65.0927,-150.9369,point,niobium,"niobium, zirconium",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Magmatic REE,Carbonatite,Kuskokwim-White Mountains REE,None.,"Inferred resource (1986): 443,000,000 lbs ore @0.07% Nb; (1986) 245,000 short tons ore @5% P2O5, 0.07% Zr. Indicated resource (1986): 42,900 lbs ore @0.7% Nb. Note these values are calculated from an Indicated resource of 30,000 lbs Nb and Inferred resources of 310,000 lbs Nb, 12,250 st P2O5 and 340,000 lbs Zr from 245,000 short tons of regolith (Warner and others, 1986).",ARDF-ID: TN083; Bellora and others (2019); Warner and others (1986),https://doi.org/10.5066/F7FN15D1,,,,,,
ore-499,ore_site,Unnamed rhenium site 499,AK,,55.403,-130.483,point,rhenium,rhenium,Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Porphyry Cu-Mo-Au,Porphyry/skarn copper,Glacier Bay,None.,"Resource (2017): 1,600,000,000 metric tons ore @0.003% Cu, 0.0762% Mo, and 0.189 g/metric ton Re.",ARDF-ID: KC108; Burger and Long (2018),https://doi.org/10.5066/F7KP81F2,,,,,,
ore-337,ore_site,Unnamed tantalum site 337,AK,,65.7103,-165.2289,point,tantalum,"tantalum, tin",Ore Site,CM resources,3,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Porphyry Sn (granite-related),Greisen,Lost River-Kougarok Sn-W,None.,"Reserve (1980): 5,700,000 short tons @0.39% Sn. Total resources (2001): 2,700,000 metric tons @0.020% Ta and 0.500 % Sn. Estimated resources (trenching and drilling) of about 14,100 tons of Sn contained in 3 million tons of rock, including 240,000 tons grading 1.4% Sn and 110,000 tons grading 2.3% Sn. (source: Alaska Mineral Locations Database Report, March 7, 2001). Potential large resource of low-grade (0.1-0.3% Sn) Sn mineralization amenable to open-pit mining.",ARDF-ID: TE072; Karl and others (2018); Navigator Exploration Corporation (2001),https://doi.org/10.5066/P97JYNJL,,,,,,
ore-106,ore_site,Unnamed tin site 106,AK,,65.643,-167.511,point,tin,tin,Ore Site,CM-past producer,1,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,Cassiterite,Lost River-Kougarok Sn-W,"Production (1902-1953): 1,000 metric tons Sn.","Resource of 59,000 cubic meters ore @1.7 kg/cubic meter Sn (Bliss and Menzie, 1995).",ARDF-ID TE020; Karl and others (2018),https://doi.org/10.5066/P97JYNJL,,,,,,
ore-121,ore_site,Unnamed tin site 121,AK,,65.094,-150.8182,point,tin,tin,Ore Site,CM-past producer,1,1,1,0,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,Cassiterite,Placer Au and Sn,"Production (1909-1956): 409 oz Ag, 3,650 oz Au, and 5,155 lbs Sn concentrate (cassiterite). Production (1989): 2,190 oz Au and 14,000 lbs byproduct Sn. Production (1990): 1,074 oz Au, 208 oz Ag, and 2.600 lbs Sn from 26,000 cubic yds of processed material.",Unknown.,ARDF-ID TN097; Karl and others (2018); Swainbank and others (1991),https://doi.org/10.5066/P97JYNJL,,,,,,
ore-130,ore_site,Unnamed tin site 130,AK,,65.571,-167.931,point,tin,tin,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,Cassiterite,Lost River-Kougarok Sn-W,"Cape Creek placer mine production (1935-1990): 1,540 tons Sn. Most of the recorded 1,650 short tons of tin production from the Cape Mountain area (Hudson and Reed, 1997, p. 452) has come from Cape Creek; over 60% of the total production (1,036 tons) took place between 1979 and 1989 (Bundzten and others, 1990, p. 33). Unknown but extensive mining took place in the 1970's and 1980's.","Inferred mineral reserve (1985): 850,000 cubic yards Sn concentrate (2.6 lbs/cubic yard).",ARDF-ID TE006; Karl and others (2018),https://doi.org/10.5066/P97JYNJL,,,,,,
ore-131,ore_site,Unnamed tin site 131,AK,,65.587,-167.959,point,tin,tin,Ore Site,CM-past producer+resources,5,1,1,1,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,Lost River-Kougarok Sn-W,Production (1906): 6 short tons Sn.,"Inferred reserve (1946): 1,350 metric tons ore @7.28% Sn. Indicated reserve (1946): 650 metric tons ore @7.28% Sn.",ARDF-ID: TE009; Baggs and others (1988); Heide and others (1946); Karl and others (2018),https://doi.org/10.5066/P97JYNJL,,,,,,
ore-14,ore_site,Unnamed tin site 14,AK,,65.50353,-167.63472,point,tin,tin,Ore Site,CM-past producer,1,1,1,0,,,2024,USGS Critical mineral deposits of the United States v2.0,ScienceBase data release 10.5066/P9K1HBNT,Placer,Cassiterite,Lost River-Kougarok Sn-W,"Production (1914-1915): Dredge processed 156,000 cubic yards of gravel and recovered 1,217 oz Au and 1,600 lbs concentrate containing 31% Sn.",Unknown.,ARDF-ID: TE032; Mulligan (1959),,,,,,,
