Short reference,Reference,URL
Baggs and others (1988),"Baggs, D.W., Northam, M.J., Meyer, M.P., and Maas, K.M., 1988, Selected significant mineral deposits in Alaska—A Minerals Availability System overview: U.S. Bureau of Mines Information Circular 9177, 124 p.",https://dggs.alaska.gov/pubs/id/21293
Bakker and others (2020),"Bakker, F.J., Grant, J.W., LeBlanc, B., Hinton, E., deGagne, R.C., Palkovits, F., Malhotra, D., and Ritchie, E., 2020, NI [Canadian National Instrument] preliminary economic assessment Pickett Mountain project, Penobscot County, Maine, USA: Thunder Bay, Ontario, Canada, Wolfden Resources Corporation, prepared by A-Z Mining Professionals Limited, Toronto, Ontario, Canada, 216 p.",
Barber and others (2014),"Barber, John, Parker, Harry, Frost, David, Hartley, Janine, White, Trey, Martin, Chris, Sterrett, Robert, Poeck, Joanna, Eggleston, Ted, Gormley, Lynton, Allard, Simon, Annavarapu, Srikant, Radue, Tom, Malgesini, Matthew, and Pierce, Matthew, 2014, Twin Metals Minnesota Project, Ely Minnesota, USA, NI 43-101 Technical Report on Pre-feasibility Study: Prepared for Duluth Metals Corp., 558 p.",
Barker (1991),"Barker, J.C., 1991, Investigation of tin-rare earth element placers in the Ray River watershed: U.S. Bureau of Mines Open-File Report 34-91, 63 p.",https://dggs.alaska.gov/pubs/id/21385
Barton and Young (2002),"Barton, M.D., and Young, S., 2002, Non-pegmatitic deposits of beryllium—Mineralogy, geology, phase equilibria and origin, in Grew, E.S., ed., Beryllium—Mineralogy, petrology, and geochemistry: Reviews in Mineralogy and Geochemistry, v. 50, p. 591–691.",
Batty and others (2022),"Batty, M., Bird, E., Broili, A., Brown, A., Doundarov, G., Gorham, J., Hales, M., Harton, S., Jundis, R., Khwaja, M., Larochelle, E., Lepage, M., Marx, W., McKenzie, I., Sames, J., Tinucci, J., Willow, M., and Winters, D., 2022, NI [Canadian National Instrument] 43-101 technical report feasibility study Elk Creek Project, Nebraska: Centennial, Colorado, NioCorp Development Ltd., prepared by Understood Mineral Resources Ltd (among many), Saskatoon, Saskatchewan, Canada, 659 p., accessed March 14, 2023 at https://www.niocorp.com/wp-content/uploads/NioCorp_June-2022_NI_43-101_Technical_Report.pdf.",https://www.niocorp.com/wp-content/uploads/NioCorp_June-2022_NI_43-101_Technical_Report.pdf
Beahm and others (2014),"Beahm, D., Davis, B., and Sim, R., 2014, NI [Canadian National Instrument] 43-101 technical report preliminary economic assessment Slick Rock Project Uranium/Vanadium Deposit, San Miguel County, Southwest Colorado, USA: Corpus Cristi, Texas, Uranium Energy Corp., prepared by BRS Inc, Riverton, Wyoming, 108 p., accessed April 4, 2023, at https://www.miningdataonline.com/reports/Slick_Rock_2014_PEA.pdf.",https://www.miningdataonline.com/reports/Slick_Rock_2014_PEA.pdf
Beahm and others (2022),"Beahm, D., Warren, C., and Stewart, J., 2022, NI [Canadian National Instrument] 43-101 mineral resource technical report, US DOE uranium/vanadium leases JD-6, JD-7, JD-9, and JD-9, Montrose County Colorado, USA: Vancouver, British Columbia, Canada, Anfield Energy, Inc., prepared by BRS Inc, Riverton, Wyoming, 83 p.",
Beaty and others (1986),"Beaty, D.W., Cunningham, C.G., Rye, R.O., Steven, T.A., and Gonzalez-Urien, E., 1986, Geology and geochemistry of the Deer Trail Pb-Zn-Ag-Au-Cu manto deposits, Marysvale District, west-central Utah: Economic Geology, v. 81, no. 8, p. 1932–1952.",http://pubs.er.usgs.gov/publication/70206952
Beck (2010),"Beck, F.M., 2010, A history of non-ferrous metal mining and exploration in Maine: Presentation to the Maine Geological Society, accessed May 11, 2023, at http://www.gsmmaine.org/wp-content/uploads/2010/02/A-History-of-non-ferrous-metal-mining-and-exploration-6.pdf.",http://www.gsmmaine.org/wp-content/uploads/2010/02/A-History-of-non-ferrous-metal-mining-and-exploration-6.pdf
Bellora and others (2019),"Bellora, J.D., Burger, M.H., Van Gosen, B.S., Long, K.R., Carroll, T.R., Schmeda, Germán, and Giles, S.A., 2019, Rare Earth Element Occurrences in the United States (ver. 4.0, June 2019): U.S. Geological Survey data release, https://doi.org/10.5066/F7FN15D1.",https://doi.org/10.5066/F7FN15D1
Bittenbender and others (1999),"Bittenbender, P., Still, J.C., Maas, K., and McDonald, M., Jr., 1999, Mineral resources of the Chichagof and Baranof Islands area, southeast Alaska: Bureau of Land Management, BLM-Alaska Technical Report 19, 222 p.",
Bliss and Menzie (1995),"Bliss, J.D., and Menzie, W.D., 1995, Preliminary grade and volume model of alluvial Sn-Au placers: U.S. Geological Survey Open-File Report 95-649, 14 p.",https://pubs.usgs.gov/publication/ofr95649
Boden and others (2016),"Boden, T., Krahulec, K., Vanden Berg, M., and Rupke, A., 2016, Utah's extractive resource industries, 2015: Utah Geological Survey Circular 123, 38 p., accessed May 3, 2023, at https://ugspub.nr.utah.gov/publications/circular/c-123.pdf.",https://ugspub.nr.utah.gov/publications/circular/c-123.pdf
Bradley and Krolak (1989),"Bradley, M.F., and Krolak, T.E., 1989, The Magmont-West lead-zinc-copper mine (Cominco American Incorporated-Dresser Minerals) Viburnum Trend, Southeast Missouri, in Mississippi Valley-type mineralization of the Viburnum Trend, Missouri, Hagni, R.D., Coveney, R.M., Jr., eds., Mississippi Valley-type mineralization of the Viburnum Trend, Missouri: Society of Economic Geology Guidebook Series 5, p. 84–95.",
Brebner and others (2018),"Brebner, J., Lefaivre, A., Bairos, D., Laxer, C., Henchel, L.D., Reinke, R., and Ennis, S., 2018, NI [Canadian National Instrument] 43-101 technical report summarizing the feasibility study for the Sevier Playa potash project, Millard County, Utah: Vancouver, British Columbia, Canada, Crystal Peak Minerals Inc., prepared by Novopro Projects Inc., Montreal, Quebec, Canada, 360 p.",
Breuer and others (2021),"Breuer, R., Eccles, D.R., Hunt, T., Mielke, E., Molnar, R., and Shikaze, S., 2021, NI [Canadian National Instrument] 43-101 preliminary economic assessment of SW Arkansas lithium project, amended: Vancouver, British Columbia, Canada, Standard Lithium Ltd., prepared by NORAM Engineering and Constructors, Ltd., Vancouver, British Columbia, Canada, 216 p.",
Brooks (1918),"Brooks, A.H., 1918, The Alaskan mining industry in 1916: U.S. Geological Survey Bulletin 662, p. 11–62.",https://dggs.alaska.gov/pubs/id/3429
Brown and others (2011),"Brown, R.W., Buckingham, F., Fraser, B.D., Ghaffari, H., Hantelmann, T., Huang, J., Ramsey, D., Tribe, N.L., and Triebel, K., 2011, NI [Canadian National Instrument] 43-101 preliminary economic assessment and technical report of the Tami-Mosi project, Nevada: Vancouver, British Columbia, Canada, Molycor Gold Corp., prepared by Wardrop, Vancouver, British Columbia, Canada, 209 p.",
Brown and others (2022),"Brown, R.C., Gray, J.N., and Jones, L., 2022, NI [Canadian National Instrument] 43-101 updated mineral resource estimate and technical report for the Johnson Tract Project, Alaska: Vancouver, British Columbia, Canada, HighGold Mining, prepared by Oriented Targeting Solutions, LLC, Reno, Nevada, 199 p.",
Buckingham and others (2014),"Buckingham, F., Ghaffari, H., Hantelmann, T., Huang, J., Tribe, N.L., Triebel, K., and Hafez, S.A., 2014, NI [Canadian National Instrument] 43-101preliminary economic assessment and technical report of the Tami-Mosi Magnesium Project, Nevada: Vancouver, British Columbia, Canada, Nevada Clean Magnesium, Inc., prepared by Tetra Tech, Vancouver, British Columbia, Canada, 159 p., accessed June 27, 2023, at www.sedar.com.",www.sedar.com.
Bundtzen (2011),"Bundtzen, T.K., 2011, NI [Canadian National Instrument] 43-101F update on lode mineral resource and reserve estimates, Antimony‐Gold Lode Deposits, Nolan Creek, Wiseman B‐1 Quadrangle, Koyukuk Mining District, Alaska: Vancouver, British Columbia, Canada, Silverado Gold Mines, Ltd., prepared by Pacific Rim Geological Consulting, Inc, Fairbanks, Alaska, 239 p., accessed April 13, 2023, at https://www.sedar.com/GetFile.do?lang=EN&docClass=24&issuerNo=00000545&issuerType=03&projectNo=01774181&docId=2931202.",https://www.sedar.com/GetFile.do?lang=EN&docClass=24&issuerNo=00000545&issuerType=03&projectNo=01774181&docId=2931202
Bundtzen and Gilbert (1991),"Bundtzen, T.K., and Gilbert, W.G., 1991, Geology and geochemistry of the Gagaryah barite deposit, western Alaska Range, Alaska, in Reger, R. D., ed., Short notes on Alaskan geology 1991: Alaska Division of Geological and Geophysical Surveys Professional Report 111, p. 9–20.",
Bundtzen and others (1990),"Bundtzen, T.K., Swainbank, R.C., Deagen, J.R., and Moore, J.L., 1990, Alaska's mineral industry 1989, Alaska Division of Geological and Geophysical Surveys Special Report 44, 100 p.",
Burger and Long (2018),"Burger, M.H., and Long, K.R., 2018, Rhenium occurrences in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/F7KP81F2.",https://doi.org/10.5066/F7KP81F2
Burger and others (2018),"Burger, M.H., Schmeda, G., Long, K.R., Reyes, T.A., and Karl, N.A., 2018, Cobalt deposits in the United States: U.S. Geological Survey data release, https://doi.org/10.5066/P9V74HIU.",https://doi.org/10.5066/P9V74HIU
Burgin (1949),"Burgin, W.H., 1949, Chamac Mines Fluorspar Property: Geneva Steel Co. Special Report, 76 p., accessed September 1, 2021, at https://www.idahogeology.org/WebMap/WebData/Mines.asp.",https://www.idahogeology.org/WebMap/WebData/Mines.asp
Burleigh (1991),"Burleigh, R.E., 1991, Evaluation of the tin-tungsten greisen mineralization and associated granite at Sleitat Mountain, southwestern Alaska: U.S. Bureau of Mines Open-File Report 35-91, 41 p.",https://www.sciencebase.gov/catalog/item/646f8fead34e4e58932cfe51
Cameron and others (1954),"Cameron, E.N., Larrabee, D.M., McNair, A.H., Page, J.J., Stewart, G.W., and Shainin, V.E., 1954, Pegmatite investigations, 1942–45, New England: U.S. Geological Survey Professional Paper 255, 360 p.",
Cannon and others (2017),"Cannon, W.F., Kimball, B.E., and Corathers, L.A., 2017, Manganese, chapter L, in Schulz, K.J., DeYoung Jr., J.H., Seal II, R.R., and Bradley, D.C., eds., Critical mineral resources of the United States—Economic and environmental geology and prospects for future supply: U.S. Geological Survey Professional Paper 1802, p. L1–L28, https://doi.org/10.3133/pp1802L.",https://doi.org/10.3133/pp1802L
Carew (2008),"Carew, T.J., 2008, NI [Canadian National Instrument] 43-101 technical report and resource estimation for the Cordero gallium project, Humboldt County, Nevada, USA: Vancouver, British Columbia, Canada, Gold Canyon Resources, Inc., prepared by Reserva International LLC, Reno, Nevada, 35 p.",
Carlson and Clark (1954),"Carlson, D.W., and Clark, W.B., 1954, Mines and mineral resources of Amador County, California, California Journal of Mines and Geology, v. 50, p. 148-780.",
Chapman and others (1963),"Chapman, R.M., Coats, R.R., and Payne, T.G., 1963, Placer tin deposits in central Alaska: U.S. Geological Survey Open-File Report 239, 53 p.",https://pubs.usgs.gov/publication/ofr6315
Chatman (1994),"Chatman, M.L., 1994, Mineral appraisal of Coronado National Forest, Part 7 - Patagonia Mountains-Canelo Hills Unit, Cochise and Santa Cruz Counties, Arizona: U.S. Bureau of Mines Mineral Land Assessment Open-File Report 22-94, 392 p.",
Childs and Armitage (2021),"Childs, J.F., and Armitage, A., 2021, NI [Canadian National Instrument] 43-101 technical report on the 2021 mineral resource estimates for the Stillwater West PGE-NI-Cu-Co + Au Project, Montana USA: Vancouver, British Columbia, Group Ten Metals Inc., prepared by Childs Geosciences Inc, Bozeman Montana, 222 p.",
Choquette and others (2019),"Choquette, J., Brown, J.J., and Martin, R.K., 2019, NI [Canadian National Instrument] 43-101 technical report—updated mineral resource estimate for the South Mountain Project, Owyhee County, Idaho USA: Vancouver, British Columbia, Canada, BeMetals Corp. and Boise, Idaho, South Mountain Mines, Inc., prepared by Hard Rock Consulting LLC, Lakewood, Colorado, 263 p.",
Clarke and others (2022),"Clarke, C., Thomas, B., McDonald, J., Blako, S., Pengel, E., Obermayer, J., Castendyk, D., and Karajeh, I., 2022, NI [Canadian National Instrument] 43-101 technical report on the Eagle Mine, Michigan, USA: Toronto, Ontario, Canada, Lundin Mining Corporation, prepared by WSP Golder, Windsor, Ontario, Canada, 287 p.",
Clautice and others (1993),"Clautice, K.H., Bowman, N.D., Clough, J.G., Gilbert, W.G., Kline, J.T., Smith, T.E., and Blodgett, R.B., 1993, Land selection Unit 8 (Kantishna River, Ruby, and Medfra quadrangles); References, lead isotope, geochemical and major oxide data: Alaska Division of Geological and Geophysical Surveys, 42 p., 1 sheet, scale 1:250,000.",https://dggs.alaska.gov/pubs/id/1557
Cobb (1978),"Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral fuels and construction materials) in the Sitka quadrangle: U.S. Geological Survey Open-File Report 78-450, 124 p.",https://pubs.usgs.gov/of/1978/0870/report.pdf
Compass Minerals (2022a),"Compass Minerals, 2022a, Technical report summary, updated initial assessment lithium and LCE mineral resource estimate, Compass Minerals International, Inc., GSL Ogden site, Ogden, Utah, USA, effective date March 3, 2022, 200 p., http://q4live.s22.clientfiles.s3-website-us-east-1.amazonaws.com/834578860/files/doc_downloads/2022/09/CMP-Ex96.1-Revised-Ogden-Lithium-Technical-Report-Summary.pdf.",http://q4live.s22.clientfiles.s3-website-us-east-1.amazonaws.com/834578860/files/doc_downloads/2022/09/CMP-Ex96.1-Revised-Ogden-Lithium-Technical-Report-Summary.pdf
Compass Minerals (2022b),"Compass Minerals, 2022b, Compass Minerals Fiscal 2022 Annual Report: Compass Minerals Annual Report, 158 p., accessed April 24, 2023, at https://www.compassminerals.com/info/news/compass-minerals-releases-fiscal-2022-annual-report/.",https://www.compassminerals.com/info/news/compass-minerals-releases-fiscal-2022-annual-report/
Copeland and Vendl (2011),"Copeland, J.B., and Vendl, M.A., 2011, The Wagon Wheel Gap fluorspar mine: Mining History Journal, v. 18, p. 49–65, accessed August 4, 2021, at https://www.mininghistoryassociation.org/Journal/MHJ-v18-2011-Copeland-Vendl.pdf.",https://www.mininghistoryassociation.org/Journal/MHJ-v18-2011-Copeland-Vendl.pdf
Correia and others (2021),"Correia, L., Fletcher, T., Gagnon, D., Gravel, A., Liskovych, V., Martin, A., Peters, O., Ritchie, D., and Thomas, B., 2021, NI [Canadian National Instrument] 43-101 technical report, preliminary economic assessment (PEA) #3 of the Tamarack North project - Tamarack, Minnesota: Tamarack, Minnesota, Talon Metals Corp, prepared by DRA Americas Inc., Toronto, Ontario, Canada, 359 p., accessed June 14, 2023, at http://www.sedar.com.",http://www.sedar.com
Czamanske and others (1981),"Czamanske, G.K., Haffty, J., and Nabbs, S.W., 1981, Pt, Pd, and Rh analyses and beneficiation of mineralized mafic rocks from the LaPerouse layered gabbro, Alaska: Economic Geology, v. 76, p. 2001–2011.",
Czehura (2006),"Czehura, S.J., 2006, Butte A World Class Ore Deposit: 2006 SME Annual Meeting and Exhibit & 7th ICARD, Session on: Classic Geology and Mining Deposits, 7 p.",
Dahlberg and others (2014),"Dahlberg, P.S., Noble, A.C., Pickarts, J.T., Rose, W.L., and Jaacks, J.A., 2014, NI [Canadian National Instrument] 43-101 Bear Lodge Project pre-feasibility study report on the mineral reserves and development of the Bull Hill Mine, Wyoming: Vancouver, British Columbia, Canada, Rare Element Resources, Ltd., prepared by Roche Engineering Inc., Sandy, Utah, 516 p., accessed March 24, 2021, at http://www.rareelementresources.com/App_Themes/NI43-101PreFeasibilityStudyReport/HTML/files/assets/common/downloads/publication.pdf.",http://www.rareelementresources.com/App_Themes/NI43-101PreFeasibilityStudyReport/HTML/files/assets/common/downloads/publication.pdf
Dale (1959),"Dale, V.B., 1959, Tungsten deposits of Yuma, Maricopa, Pinal and Graham Counties, Arizona: U.S. Bureau of Mines Report of Investigations 5516, 76 p.",https://digital.library.unt.edu/ark:/67531/metadc38680/
Dale (1961),"Dale, V.B., 1961, Tungsten deposits of Gila, Yavapai, and Mohave Counties, Arizona: U.S. Bureau of Mines Information Circular IC-8078, 104 p.",
Dale and others (1960),"Dale, V.B., Stewart, L.A., and McKinney, W.A., 1960, Tungsten deposits of Cochise, Pima, and Santa Cruz Counties, Arizona: U.S. Bureau of Mines Report of Investigations 5650, 132 p.",
Dashevsky and Schaefer (2011),"Dashevsky, S.S., and Schaefer, C.F., 2011, NI [Canadian National Instrument] 43-101technical report on the volcanogenic massive sulphide prospects of the Delta property, Eastern Interior Alaska, USA: Vancouver, British Columbia, Canada, Heatherdale Resources Ltd., prepared by Northern Associates, Inc, Fairbanks, Alaska, 83 p.",www.sedar.com.
Davis and others (2017),"Davis, B., Sim, R., and Austin, J., 2017, NI [Canadian National Instrument] 43-101 amended technical report on the Bornite Project, northwest Alaksa, USA: Vancouver, British Columbia, Canada, Trilogy Metals Inc, prepared by BD Resources Consulting, Inc., SIM Geological Inc., and International Metallurgical & Engineering, Inc., 180 p.",
DeMark (2003),"DeMark, R.S., 2003, Fluorite from the Blanchard mine group. Hansonburg mining district, Socorro Cunty, New Mexico: Rocks & Minerals, v. 78, p. 380–389, accessed May 15, 2023, at https://www.tandfonline.com/doi/epdf/10.1080/00357529.2003.9926752?needAccess=true&role=button.",https://www.tandfonline.com/doi/epdf/10.1080/00357529.2003.9926752?needAccess=true&role=button
Denny and others (2020),"Denny, F.B., Nelson, W.J., Breeden, J.R., and Lillie, R.C., 2020,  Mines in the Illinois portion of the Illinois-Kentucky Fluorspar District: Illinois State Geological Survey, Prairie Research Institute, Circular 604, 73 p.",
Dicken and others (2022),"Dicken, C.L., Woodruff, L.G., Hammarstrom, J.M., and Crocker, K.E., 2022, GIS, supplemental data table, and references for focus areas of potential domestic resources of critical minerals and related commodities in the United States and Puerto Rico (version 2.0, April 2024): U.S. Geological Survey data release, https://doi.org/10.5066/P9DIZ9N8.",https://doi.org/10.5066/P9DIZ9N8
Dings (1951),"Dings, M.G., 1951, The Wallapai mining district, Cerbat Mountains, Mohave County, Arizona: U.S. Geological Survey Bulletin 978-E, p.123-163.",http://pubs.er.usgs.gov/publication/b978E
Doe Run Resources Corporation (2006),"Doe Run Resources Corporation, 2006, Doe Run Resources Corporation Annual Report: SEC Form 10-K/A, 138 p.",
Doelling (1980),"Doelling, H.H., 1980, Geology and mineral resources of Box Elder County, Utah: Utah Geological and Mineral Survey Bulletin 115, 251 p.",
Dunn (2022),"Dunn, B.M., 2022, Ni [Canadian National Instrument] 43-101 technical report resource estimate on the Emily property, Minnesota USA: Roseville, Minnesota, North Star Manganese Inc., prepared by Barr Engineering Company, Minneapolis, Minnesota, 119 p.",
Durgin (2013),"Durgin, D., 2013, NI [Canadian National Instrument] 43-101 amended technical report on the geology and mineralization, Bounty potash project, Box Elder and Tooele Counties, Utah, USA: Vancouver, British Columbia, Canada, Mesa Exploration Company, prepared by Delve Consultants, Sparks, Nevada, 41 p., accessed March 6, 2023 at chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://geology.utah.gov/apps/reportviewer/reports/PilotValley2013_NI43-101.pdf.",https://geology.utah.gov/apps/reportviewer/reports/PilotValley2013_NI43-101.pdf
Electra Battery Materials Corporation (2023),"Electra Battery Materials Corporation, 2023, Electra updates mineral resource estimate at its Iron Creek Cobalt-Copper Project in Idaho: Electra Battery Materials Corporation press release dated March 10, 2023, accessed March 28, 2023, at https://electrabmc.com/electra-updates-mineral-resource-estimate-at-its-iron-creek-cobalt-copper-project-in-idaho.",https://electrabmc.com/electra-updates-mineral-resource-estimate-at-its-iron-creek-cobalt-copper-project-in-idaho
Ellis (2006)," Ellis, W.T., 2006, NI [Canadian National Instrument] 43-101 technical report on the Sleitat Mountain tin-silver deposit, southwest Alaska: Vancouver, British Columbia, Canada, Brett Resources, Inc., prepared by Alaska Earth Sciences, Inc., Anchorage, Alaska. 57 p. (posted on www.sedar.com, April 10, 2008).",
Ellis (2015),"Ellis, W.T., 2015, NI [Canadian National Instrument] 43-101 technical report on the Coal Creek tin-silver exploration target, south-central Alaska: Vancouver, British Columbia, Canada, Strongbow Exploration, Inc., prepared by Alaska Earth Sciences, Inc., Anchorage, Alaska, 93 p.",
Elsner (1997),"Elsner, H., 1997, Economic geology of the heavy mineral placer deposits in northeastern Florida: Florida Geological Survey Open-File Report No. 71, 98 p.",
Eric and Cox (1948),"Eric, J.H., and Cox, M.W., 1948, Zinc deposits of the American Eagle Blue Moon area, Mariposa County, California: California Division of Mines Bulletin 144, p. 133–150.",
Farnham and others (1961),"Farnham, L.L., Stewart, L.A., and DeLong, C.W., 1961, Manganese deposits of eastern Arizona: U.S. Bureau of Mines Information Circular 7990, 178 p.",
Farrow and Johnson (2012),"Farrow, D., and Johnson, M., 2012, NI [Canadian National Instrument] technical report on the Titac ilmenite exploration project, Minnesota, USA: Vancouver, British Columbia, Canada, Cardero Resource Corp., prepared by SRK Consulting (Canada) Inc., Vancouver, British Columbia, Canada, 93 p.",
Fechner (1988),"Fechner, S.A., 1988, Mineral investigation of the Goodnews Bay mining district, Alaska: U.S. Bureau of Mines Open-File Report 1-88, 230 p.",https://dggs.alaska.gov/pubs/id/21305
Feytis (2009),"Feytis, A., 2009, Fluorspar supply fortified, Industrial Minerals Web page, September 21, accessed August 6, 2021 at https://www.indmin.com/Article/2299402/Fluorspar-supply-fortified.html.",https://www.indmin.com/Article/2299402/Fluorspar-supply-fortified.html
First Liberty Power Company (2013),"First Liberty Power Company, 2013, First Liberty Power Company Annual Report for the fiscal year ending July 31, 2013: SEC Form 10-K, 76 p.",
Fischer (1975),"Fischer, R.P., 1975, Vanadium resources in titaniferous magnetite deposits: U.S. Geological Survey Professional Paper 926-B, 9 p., https://doi.org/10.3133/pp926B.",https://doi.org/10.3133/pp926B
Fogg and Boyle (1987),"Fogg, C.T., and Boyle, E.H., Jr., 1987, Flake and high-crystalline graphite availability–Market economy countries—A minerals availability appraisal: U.S. Bureau of Mines Information Circular 9122, 40 p.",
Foley and Barker (1985),"Foley, J.Y., and Barker, J.C., 1985, Chromite deposits along the Border Ranges fault, southern Alaska (in two parts), 1. field investigations and descriptions of chromite deposits: U.S. Bureau of Mines Information Circular 8990, 58 p.",https://dggs.alaska.gov/pubs/id/21281
Foley and others (1984),"Foley, J.Y., Hinderman, T., Kirby, D.E., and Mardock, C.L., 1984, Chromite occurrences in the Kaiyuh Hills, west-central Alaska: U.S. Bureau of Mines Open-File Report 178-84, 20 p.",https://dggs.alaska.gov/webpubs/usbm/ofr/text/ofr178_84.pdf
Foley and others (1986),"Foley, J.Y., Barker, J.C., and Brown, L.L., 1986, Chromite resources in Alaska, in Daellenbach, C.B., compiler, Chromium-chromite; U.S. Bureau of Mines assessment and research: U.S. Bureau of Mines Information Circular 9087, p. 23–29.",
Foley and others (1992),"Foley, J.Y., Dahlin, D.C., Mardock, C.L., and O'Connor, W.K., 1992, Reconnaissance investigations of chromite deposits and platinum-group metals in the western Brooks Range, northwestern Alaska: U.S. Bureau of Mines Open-File Report 80-92, 68 p., 4 sheets.",https://dggs.alaska.gov/webpubs/usbm/ofr/text/ofr080_92.pdf
Foley and others (1985),"Foley, J.Y., Barker, J.C., and Brown, L.L., 1985, Critical and strategic minerals investigations in Alaska: Chromium: U.S. Bureau of Mines Open-File Report 97-85, 54 p.",https://dggs.alaska.gov/webpubs/usbm/ofr/text/ofr097_85.pdf
Foley and others (2017),"Foley, N.K., Jaskula, B.W., Kimball, B.E., Piatak, N.M., and Schulte, R.F., 2017, Beryllium, chap. E of Schulz, K.J., DeYoung, J.H., Jr., Seal, R.R., II, and Bradley, D.C., eds., Critical mineral resources of the United States—Economic and environmental geology and prospects for future supply: U.S. Geological Survey Professional Paper 1802, p. E1–E32, https://pubs.er.usgs.gov/publication/pp1802E.",https://pubs.er.usgs.gov/publication/pp1802E
Force and Lynd (1984),"Force, E.R., and Lynd, L.E., 1984, Titanium mineral resources of the United States—Definitions and documentation: U.S. Geological Survey Bulletin 1558–B, p. B1–B11.",https://pubs.er.usgs.gov/publication/b1558AB
Force and others (1976),"Force, E.R., Lipin, B.R., and Smith, R.E., 1976, Map showing heavy mineral resources in Pleistocene sand of the Port Leyden quadrangle, southwestern Adirondack Mountains, New York: U.S. Geological Survey Miscellaneous Field Studies Map 728-B, scale 1:24,000.",https://pubs.er.usgs.gov/publication/mf728B
